function	2N-update3202MT	ZC3201	evidence
game_play_oid_voice(=game_pick_voice)	0x0806a0dc	0x0805c730	string-authoritative(ZC:pMeGame->VoiceIndexForOID)+decomp-twin
game_play_phase_cue	0x08069f0c	0x0805c560	call-structure
game_quiz_load_profmad_cand_maybe	0x0808d3c8	-	call-structure
game_quiz_lookup_question	0x0808d298	0x0807f9a0	call-structure
game_quiz_match_answer	0x0808d84c	0x0807ff54	call-structure
game_quiz_match_answerset_maybe	0x0808d8ec	-	call-structure
game_quiz_play_cue	0x0808d6a0	0x0807fda8	call-structure
game_quiz_sm	0x0808d98c	0x08080094	call-structure
game_random_id	0x0806f058	-	call-structure
game_reading_sm	0x0806a580	-	call-structure
game_spe1_init	0x08097ff8	-	call-structure
game_start	0x0806ba54	0x0805e0a8	call-structure
game_step_change_handler	0x08093298	-	call-structure
game_step_confirm_handler	0x080919dc	-	call-structure
game_voice_pick_norepeat	0x0806a3c4	-	call-structure
game_wronglimit_sm	0x0806f244	0x080618e8	call-structure
gme_alloc_binary_region	0x08038c5c	-	decomp-twin+distinctive-constant
gme_check_condition	0x08035624	-	decomp-twin+distinctive-constant
gme_check_language	0x08033fb0	-	decomp-twin+distinctive-constant
gme_clear_script_state	0x08035a6c	-	decomp-twin+distinctive-constant
gme_exec_command	0x08034da0	0x0804c6e4	decomp-twin+distinctive-constant
gme_launch_binary_build_sysapi	0x080aa934	0x0809d090	decomp-twin+distinctive-constant
gme_mount_check_product	0x08034130	-	decomp-twin+distinctive-constant
gme_oid_dispatch	0x0803629c	-	decomp-twin+distinctive-constant
gme_oid_to_playscript	0x080359a4	0x0804d358	decomp-twin+distinctive-constant
gme_parse_actions	0x080354c8	0x0804cec8	decomp-twin+distinctive-constant
gme_parse_additional_script	0x08036228	-	decomp-twin+distinctive-constant
gme_parse_check_conditions	0x08035888	0x0804d23c	decomp-twin+distinctive-constant
gme_parse_header	0x08035d20	0x0804d72c	decomp-twin+distinctive-constant
gme_parse_media_offsets	0x08035338	0x0804cd38	decomp-twin+distinctive-constant
gme_parse_media_offsets2	0x08035b8c	0x0804d598	decomp-twin+distinctive-constant
gme_parse_playlist	0x080353e8	0x0804cde8	decomp-twin+distinctive-constant
gme_parse_start_end_oid	0x08035c3c	-	decomp-twin+distinctive-constant
gme_rand_in_range	0x08034d74	-	decomp-twin+distinctive-constant
gme_read_main_binary_table	0x080aadd8	0x0809d53c	decomp-twin+distinctive-constant
gme_reset_registers	0x08035ca8	-	decomp-twin+distinctive-constant
media_detect_codec(=medialib_detect_codec)	0x080ff3d8	0x080b8970	decomp-twin+distinctive-constant(codec magics)
medialib_close	0x080f0d38	-	name-shared
medialib_detect_asf	0x080ff058	-	name-shared
medialib_detect_codec	0x080ff3d8	-	name-shared
medialib_detect_wav	0x080feebc	-	name-shared
medialib_enter_fr	0x080f1fe8	-	name-shared
medialib_fr_seek_helper	0x080f1b1c	-	name-shared
medialib_get_info	0x080f19b0	-	name-shared
medialib_get_version(=medialib_version)	0x080f0cb8	0x080ad2d0	string-authoritative(ZC:MediaLib V0.6.3)+decomp-twin
medialib_open	0x080f0e20	-	name-shared
medialib_play	0x080f1c38	-	name-shared
medialib_stop	0x080f1bbc	-	name-shared
medialib_version	0x080f0cb8	-	name-shared
mtd_CheckLogAddr	-	0x08035540	NO CONFIDENT MT TWIN - ZC=MtdLib_Base_1_0_10 vs MT=NFTL_V1_2_11 redesign (log2phy+RLE); ZC 0x12560000 OOB magic & 0xfffa/fc/ff flags absent in MT; MT derives log2phy at init (nftl_build_log2phy@0x08047510), no stored-map checker
mtd_DealReadErr	-	0x08035e44	NO CONFIDENT MT TWIN - ZC=MtdLib_Base_1_0_10 vs MT=NFTL_V1_2_11 redesign (log2phy+RLE); ZC 0x12560000 OOB magic & 0xfffa/fc/ff flags absent in MT; absorbed into nftl_core_rw_sector@0x08043a74 copyback loop
mtd_MapTblInit	-	0x08035318	NO CONFIDENT MT TWIN - ZC=MtdLib_Base_1_0_10 vs MT=NFTL_V1_2_11 redesign (log2phy+RLE); ZC 0x12560000 OOB magic & 0xfffa/fc/ff flags absent in MT; role-analog nand_mtd_2@0x08046be0 but different structure+own vendor string
mtd_MarkBadBlk	-	0x08037674	NO CONFIDENT MT TWIN - ZC=MtdLib_Base_1_0_10 vs MT=NFTL_V1_2_11 redesign (log2phy+RLE); ZC 0x12560000 OOB magic & 0xfffa/fc/ff flags absent in MT; MT mark-bad FUN_08044754 self-IDs as NFTL_SetBadBlock (different fn)
mtd_Replace	-	0x08036330	NO CONFIDENT MT TWIN - ZC=MtdLib_Base_1_0_10 vs MT=NFTL_V1_2_11 redesign (log2phy+RLE); ZC 0x12560000 OOB magic & 0xfffa/fc/ff flags absent in MT; role in MT is nftl_core_rw_sector main loop + nftl_page_copy, no standalone Replace
mtd_Try2Write	-	0x08036684	NO CONFIDENT MT TWIN - ZC=MtdLib_Base_1_0_10 vs MT=NFTL_V1_2_11 redesign (log2phy+RLE); ZC 0x12560000 OOB magic & 0xfffa/fc/ff flags absent in MT; MT write path nftl_write_op@0x0801027c has no verify-and-replace wrapper
mtd_free_block	0x080457b4	-	name-shared
mtd_init	0x08045e80	-	name-shared
mtd_reload	0x080466e8	-	name-shared
nftl_check_anyka_ic	0x080fd414	-	name-shared
nftl_check_block_danger	0x08043780	-	name-shared
nftl_core_rw_sector	0x08043a74	-	name-shared
nftl_init	0x08044d28	-	name-shared
nftl_init_2	0x080451a4	-	name-shared
nftl_load_info	0x0804855c	-	name-shared
nftl_update_log2phy	0x08042c58	-	name-shared
nftl_version_str	0x080fd3fc	-	name-shared
rng_below	0x080ac5f8	0x0809f914	name-shared
state_init_power_on(=app_init_main)	0x0802fe20	0x08038e48	string-authoritative(ZC:s_init_power_on.c)+call-structure
state_stdb_standby(=standby_handler)	0x08051b0c	0x0803e454	string-authoritative(ZC:s_stdb_standby.c)+call-structure(MT standby_handler = standby state-machine, dispatches 0x100a/0x100c, USB-exit +0x58==5, idle-count>300 teardown; structural twin of ZC standby SM FUN_08036f7c in same file; row's ZC addr 0x08036454 is the small SetRefresh helper)
sysapi_close	0x08014484	0x080116a8	call-structure+distinctive-field(+0x66c8 remaining-samples; two-branch finalize reads +0x1d0/+0x1ce/+0x182 set by sysapi_write)
sysapi_free	0x08041ab4	-	decomp-twin
sysapi_is_audio_playing	0x08013158	0x080a8a88	decomp-twin
sysapi_malloc	0x080419d8	-	decomp-twin
sysapi_open	0x08016008	0x08010a48	decomp-twin
sysapi_play_sound	0x080b37b4	0x080141c4	decomp-twin
sysapi_read	0x080160b0	-	decomp-twin
sysapi_seek	0x080160c0	-	decomp-twin
sysapi_write	0x08010f78	0x08011498	call-structure+distinctive-const(0x3e000000/0x3f000000 floats, log2 loop, iVar*9 divide, +0x6980=ZC+27000 tail field)
voice_play_sample(=play_media)	0x080ab7b4	0x0809f068	decomp-twin
vorbis_assert_fail	0x081116b8	-	name-shared
vorbis_book_decode	0x08110dd4	-	name-shared
vorbis_decode_packet	0x08111950	-	name-shared
vorbis_get_info	0x081044a4	0x080bd5f0	string-match+decomp-twin(same sig; "vorbis samplerate/bitrate/total_sample is %d", "first_page_pos" strings, OggS scan)
vorbis_parse_comment(=meta_parse_vorbiscomment)	0x0810bc78	0x080c1fe8	decomp-twin+distinctive-constant
vorbis_parse_id_header	0x08104064	-	name-shared
